Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,Dataset,SNR
CNN,0,0.7732,0.0251,0.7726,wav2vec2,AESDD,clean
Layer 1,1,0.8378,0.0234,0.8375,wav2vec2,AESDD,clean
Layer 2,2,0.851,0.0136,0.8504,wav2vec2,AESDD,clean
Layer 3,3,0.8791,0.0123,0.8798,wav2vec2,AESDD,clean
Layer 4,4,0.899,0.0085,0.8985,wav2vec2,AESDD,clean
Layer 5,5,0.9255,0.018,0.9258,wav2vec2,AESDD,clean
Layer 6,6,0.9305,0.0243,0.9304,wav2vec2,AESDD,clean
Layer 7,7,0.9321,0.0302,0.932,wav2vec2,AESDD,clean
Layer 8,8,0.9156,0.0205,0.9149,wav2vec2,AESDD,clean
Layer 9,9,0.9189,0.0142,0.9188,wav2vec2,AESDD,clean
Layer 10,10,0.9254,0.0237,0.9253,wav2vec2,AESDD,clean
Layer 11,11,0.8973,0.0365,0.8973,wav2vec2,AESDD,clean
Layer 12,12,0.8411,0.0278,0.8394,wav2vec2,AESDD,clean
Layer 13,13,0.8377,0.024,0.8367,wav2vec2,AESDD,clean
Layer 14,14,0.8178,0.0188,0.8172,wav2vec2,AESDD,clean
Layer 15,15,0.7698,0.0278,0.7692,wav2vec2,AESDD,clean
Layer 16,16,0.7963,0.0207,0.7949,wav2vec2,AESDD,clean
Layer 17,17,0.7699,0.012,0.7682,wav2vec2,AESDD,clean
Layer 18,18,0.7815,0.0153,0.7811,wav2vec2,AESDD,clean
Layer 19,19,0.7384,0.0372,0.7379,wav2vec2,AESDD,clean
Layer 20,20,0.7317,0.0402,0.7304,wav2vec2,AESDD,clean
Layer 21,21,0.687,0.0233,0.6878,wav2vec2,AESDD,clean
Layer 22,22,0.624,0.0588,0.6249,wav2vec2,AESDD,clean
Layer 23,23,0.4933,0.0303,0.4938,wav2vec2,AESDD,clean
Layer 24,24,0.3873,0.0332,0.3825,wav2vec2,AESDD,clean
CNN,0,0.4819,0.0573,0.4801,wav2vec2,AESDD,0
Layer 1,1,0.5167,0.0557,0.516,wav2vec2,AESDD,0
Layer 2,2,0.5646,0.0395,0.5635,wav2vec2,AESDD,0
Layer 3,3,0.596,0.0348,0.5921,wav2vec2,AESDD,0
Layer 4,4,0.5927,0.0541,0.5892,wav2vec2,AESDD,0
Layer 5,5,0.6059,0.0491,0.6037,wav2vec2,AESDD,0
Layer 6,6,0.624,0.0551,0.6221,wav2vec2,AESDD,0
Layer 7,7,0.649,0.0312,0.6465,wav2vec2,AESDD,0
Layer 8,8,0.6191,0.0419,0.6186,wav2vec2,AESDD,0
Layer 9,9,0.6175,0.0176,0.6151,wav2vec2,AESDD,0
Layer 10,10,0.6572,0.0242,0.6548,wav2vec2,AESDD,0
Layer 11,11,0.6209,0.0185,0.6195,wav2vec2,AESDD,0
Layer 12,12,0.5928,0.0271,0.5915,wav2vec2,AESDD,0
Layer 13,13,0.5812,0.0227,0.5796,wav2vec2,AESDD,0
Layer 14,14,0.558,0.0562,0.5568,wav2vec2,AESDD,0
Layer 15,15,0.5513,0.0352,0.5486,wav2vec2,AESDD,0
Layer 16,16,0.5464,0.0226,0.5457,wav2vec2,AESDD,0
Layer 17,17,0.5563,0.0184,0.5549,wav2vec2,AESDD,0
Layer 18,18,0.5149,0.0389,0.5138,wav2vec2,AESDD,0
Layer 19,19,0.5083,0.0238,0.5048,wav2vec2,AESDD,0
Layer 20,20,0.4686,0.0278,0.4649,wav2vec2,AESDD,0
Layer 21,21,0.4421,0.0248,0.4412,wav2vec2,AESDD,0
Layer 22,22,0.4337,0.0524,0.4296,wav2vec2,AESDD,0
Layer 23,23,0.3477,0.0265,0.3413,wav2vec2,AESDD,0
Layer 24,24,0.3063,0.0133,0.3041,wav2vec2,AESDD,0
CNN,0,0.5845,0.037,0.5816,wav2vec2,AESDD,10
Layer 1,1,0.6474,0.0447,0.6463,wav2vec2,AESDD,10
Layer 2,2,0.6722,0.0529,0.6703,wav2vec2,AESDD,10
Layer 3,3,0.7301,0.0169,0.7276,wav2vec2,AESDD,10
Layer 4,4,0.7416,0.0406,0.7401,wav2vec2,AESDD,10
Layer 5,5,0.7649,0.024,0.7632,wav2vec2,AESDD,10
Layer 6,6,0.7748,0.0405,0.7709,wav2vec2,AESDD,10
Layer 7,7,0.7814,0.0201,0.7807,wav2vec2,AESDD,10
Layer 8,8,0.7732,0.0264,0.7723,wav2vec2,AESDD,10
Layer 9,9,0.7765,0.0275,0.7749,wav2vec2,AESDD,10
Layer 10,10,0.7931,0.0144,0.7921,wav2vec2,AESDD,10
Layer 11,11,0.7732,0.0245,0.7728,wav2vec2,AESDD,10
Layer 12,12,0.7269,0.0196,0.7256,wav2vec2,AESDD,10
Layer 13,13,0.6887,0.0192,0.6881,wav2vec2,AESDD,10
Layer 14,14,0.6441,0.0278,0.6399,wav2vec2,AESDD,10
Layer 15,15,0.6705,0.0307,0.6688,wav2vec2,AESDD,10
Layer 16,16,0.644,0.0349,0.6449,wav2vec2,AESDD,10
Layer 17,17,0.6605,0.0313,0.66,wav2vec2,AESDD,10
Layer 18,18,0.6556,0.0158,0.6522,wav2vec2,AESDD,10
Layer 19,19,0.6241,0.0314,0.6227,wav2vec2,AESDD,10
Layer 20,20,0.5646,0.0301,0.567,wav2vec2,AESDD,10
Layer 21,21,0.5381,0.0308,0.5347,wav2vec2,AESDD,10
Layer 22,22,0.4751,0.0272,0.473,wav2vec2,AESDD,10
Layer 23,23,0.4471,0.0416,0.4432,wav2vec2,AESDD,10
Layer 24,24,0.3377,0.0298,0.3362,wav2vec2,AESDD,10
CNN,0,0.6176,0.0135,0.6154,wav2vec2,AESDD,20
Layer 1,1,0.7169,0.0283,0.7152,wav2vec2,AESDD,20
Layer 2,2,0.7483,0.0201,0.7473,wav2vec2,AESDD,20
Layer 3,3,0.7897,0.0197,0.7895,wav2vec2,AESDD,20
Layer 4,4,0.8129,0.0127,0.8132,wav2vec2,AESDD,20
Layer 5,5,0.8444,0.0207,0.8433,wav2vec2,AESDD,20
Layer 6,6,0.8692,0.0195,0.869,wav2vec2,AESDD,20
Layer 7,7,0.8609,0.0344,0.8596,wav2vec2,AESDD,20
Layer 8,8,0.8493,0.0358,0.8478,wav2vec2,AESDD,20
Layer 9,9,0.8609,0.0244,0.8596,wav2vec2,AESDD,20
Layer 10,10,0.8708,0.0223,0.8686,wav2vec2,AESDD,20
Layer 11,11,0.8377,0.0382,0.838,wav2vec2,AESDD,20
Layer 12,12,0.8129,0.026,0.8125,wav2vec2,AESDD,20
Layer 13,13,0.7748,0.0292,0.7728,wav2vec2,AESDD,20
Layer 14,14,0.7698,0.0309,0.7673,wav2vec2,AESDD,20
Layer 15,15,0.7467,0.0359,0.7421,wav2vec2,AESDD,20
Layer 16,16,0.7036,0.0248,0.6986,wav2vec2,AESDD,20
Layer 17,17,0.7266,0.0565,0.7261,wav2vec2,AESDD,20
Layer 18,18,0.7168,0.0556,0.716,wav2vec2,AESDD,20
Layer 19,19,0.7019,0.0563,0.7013,wav2vec2,AESDD,20
Layer 20,20,0.6207,0.0409,0.6218,wav2vec2,AESDD,20
Layer 21,21,0.581,0.0374,0.5801,wav2vec2,AESDD,20
Layer 22,22,0.5131,0.0403,0.5139,wav2vec2,AESDD,20
Layer 23,23,0.4552,0.0367,0.4538,wav2vec2,AESDD,20
Layer 24,24,0.3543,0.0444,0.3542,wav2vec2,AESDD,20
CNN,0,0.5564,0.0637,0.5537,wav2vec2,AESDD,5
Layer 1,1,0.5944,0.0403,0.5942,wav2vec2,AESDD,5
Layer 2,2,0.6308,0.0329,0.6274,wav2vec2,AESDD,5
Layer 3,3,0.6605,0.03,0.6582,wav2vec2,AESDD,5
Layer 4,4,0.6588,0.0539,0.656,wav2vec2,AESDD,5
Layer 5,5,0.6771,0.0259,0.6763,wav2vec2,AESDD,5
Layer 6,6,0.6953,0.0336,0.6933,wav2vec2,AESDD,5
Layer 7,7,0.7185,0.0232,0.7152,wav2vec2,AESDD,5
Layer 8,8,0.7136,0.0316,0.7114,wav2vec2,AESDD,5
Layer 9,9,0.7401,0.0111,0.7392,wav2vec2,AESDD,5
Layer 10,10,0.7252,0.0158,0.7239,wav2vec2,AESDD,5
Layer 11,11,0.7202,0.0177,0.7209,wav2vec2,AESDD,5
Layer 12,12,0.659,0.033,0.6584,wav2vec2,AESDD,5
Layer 13,13,0.6375,0.0223,0.6373,wav2vec2,AESDD,5
Layer 14,14,0.611,0.0337,0.6097,wav2vec2,AESDD,5
Layer 15,15,0.6027,0.0534,0.5959,wav2vec2,AESDD,5
Layer 16,16,0.6093,0.0288,0.606,wav2vec2,AESDD,5
Layer 17,17,0.6208,0.0276,0.6182,wav2vec2,AESDD,5
Layer 18,18,0.601,0.0247,0.5983,wav2vec2,AESDD,5
Layer 19,19,0.5646,0.0112,0.5654,wav2vec2,AESDD,5
Layer 20,20,0.5298,0.0213,0.5298,wav2vec2,AESDD,5
Layer 21,21,0.5083,0.0252,0.5091,wav2vec2,AESDD,5
Layer 22,22,0.4454,0.017,0.4449,wav2vec2,AESDD,5
Layer 23,23,0.409,0.0323,0.4055,wav2vec2,AESDD,5
Layer 24,24,0.3312,0.0304,0.3281,wav2vec2,AESDD,5
