Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.3996,0.0048,0.3071
Layer 1,1,0.4185,0.0065,0.3952
Layer 2,2,0.4289,0.0047,0.4065
Layer 3,3,0.4333,0.0079,0.4168
Layer 4,4,0.4398,0.0066,0.425
Layer 5,5,0.4455,0.0043,0.4279
Layer 6,6,0.4392,0.0089,0.4223
Layer 7,7,0.4472,0.0051,0.4283
Layer 8,8,0.4442,0.0047,0.4254
Layer 9,9,0.4488,0.006,0.4295
Layer 10,10,0.4474,0.0021,0.4315
Layer 11,11,0.4436,0.0115,0.4287
Layer 12,12,0.4477,0.0066,0.4357
Layer 13,13,0.4522,0.0055,0.4408
Layer 14,14,0.4569,0.0061,0.4416
Layer 15,15,0.4539,0.0014,0.4388
Layer 16,16,0.4491,0.007,0.4344
Layer 17,17,0.4455,0.011,0.4313
Layer 18,18,0.4411,0.0028,0.4256
Layer 19,19,0.439,0.0072,0.4236
Layer 20,20,0.4335,0.0121,0.4176
Layer 21,21,0.4309,0.0049,0.4143
Layer 22,22,0.4301,0.0068,0.4154
Layer 23,23,0.4242,0.007,0.4075
Layer 24,24,0.427,0.0027,0.4036
